
id,name,description,category,price
1,Nike Pegasus,Lightweight running shoe,Shoes,120
2,Adidas Ultraboost,Cushioned running shoe,Shoes,150
3,North Face Jacket,Waterproof hiking jacket,Jackets,200
4,Levi's 501 Jeans,Classic fit denim jeans,Clothing,80
5,Puma Velocity Nitro,Responsive cushioned running shoe,Shoes,110
6,Columbia Alpine Jacket,Insulated winter jacket,Jackets,180
7,Wrangler Classic Jeans,Durable denim jeans,Clothing,75
8,Ray-Ban Aviators,Polarized UV protection sunglasses,Accessories,140
9,Samsung Galaxy Buds,Wireless noise-canceling earbuds,Electronics,130
10,Asics Gel Nimbus,Shock-absorbing running shoe,Shoes,135
11,Patagonia Down Sweater,Lightweight insulated jacket,Jackets,210
12,Levi's 511 Slim Jeans,Slim fit modern denim,Clothing,85
13,Oakley Holbrook Sunglasses,Impact-resistant lenses,Accessories,160
14,Sony WH-1000XM5,Noise-canceling over-ear headphones,Electronics,350
15,Reebok Floatride Energy,High-rebound lightweight shoe,Shoes,125
16,Arc'teryx Beta Jacket,GORE-TEX waterproof shell,Jackets,300
17,Lee Regular Fit Jeans,Classic straight-leg denim,Clothing,70
18,Gucci Leather Wallet,Genuine leather cardholder,Accessories,250
19,Apple AirPods Pro,Active noise cancellation earbuds,Electronics,250
20,New Balance 1080v12,Maximum cushioning running shoe,Shoes,140
21,The North Face Apex Bionic,Windproof softshell jacket,Jackets,190
22,Tommy Hilfiger Chinos,Slim fit stretch chinos,Clothing,90
23,Fossil Gen 6 Smartwatch,Touchscreen fitness tracking,Accessories,220
24,GoPro Hero 11,4K waterproof action camera,Electronics,400
25,Under Armour HOVR,Energy-returning running shoes,Shoes,130
26,Canada Goose Expedition Parka,Extreme weather insulated coat,Jackets,950
27,Calvin Klein Slim Jeans,Modern stretch denim,Clothing,95
28,Tissot Chrono XL,Stainless steel chronograph watch,Accessories,275
29,Bose QuietComfort 45,Wireless noise-canceling headphones,Electronics,330
30,Brooks Ghost 15,Plush cushioning running shoe,Shoes,135
31,Mountain Hardwear StretchDown,Flexible insulated jacket,Jackets,230
